day,p05,p50,p95
1,0.9575988165243952,0.9995800281551737,1.0477294265546793
2,0.9413939523778031,0.9985039842117012,1.0603224288412614
3,0.9322309989426202,0.9984353753731786,1.0732892586777945
4,0.9270670244342103,0.9963204006159453,1.08258401624496
5,0.9179206635531523,0.9961114013741628,1.0997154419053616
6,0.9053114316159566,1.0024894598137801,1.0977683657112423
7,0.8933395052896226,0.9988753348924311,1.1102496771037411
8,0.8845073876128925,0.9993976118367435,1.1165753234651323
9,0.8795653507789327,0.9964339092972705,1.1316211286241495
10,0.878511457423972,0.9984001306036339,1.1345426442639166
11,0.8715751321355596,0.9973231982906123,1.1504607940479536
12,0.8725774821246427,1.0023229856976046,1.14829043614939
13,0.868972736662809,1.000211205490193,1.1524544303279443
14,0.8585104003573159,0.9960364943715388,1.163565357041305
15,0.8648149994323735,1.0017344814513494,1.1630081864810846
16,0.8592760456931127,1.0038561335317082,1.1690190832283611
17,0.8585596164459321,0.998649929719116,1.1774482488514275
18,0.8509004965115465,1.0005920844401683,1.1873292979229984
19,0.8389229927439387,1.0009197638194824,1.194543860331151
20,0.8373629028432532,1.0004110823193664,1.1968021677405034
21,0.8389230590209472,0.9971183526451841,1.206478633014053
22,0.8271285347063663,0.9916509995321154,1.2105784332734213
23,0.8286643017940604,0.9941425329449871,1.218768559914694
24,0.8193337652461294,0.9962558250732199,1.2367387016618487
25,0.8202976226094358,0.9973758004146813,1.2366493903951385
26,0.8160720483012779,0.9978708067999233,1.2447038069638205
27,0.8066706928910942,0.9980203492849956,1.271939234808534
28,0.8158403687254467,1.0031445315617682,1.2651490351513162
29,0.8080223675257125,1.0054459616154579,1.2786281229073733
30,0.7978440812079501,1.0063122260716046,1.2716584212854645
31,0.7998814234004269,1.006700589934999,1.289706104337631
32,0.7999408444976818,1.0045002715627316,1.285762125805122
33,0.7969394643500731,1.0042827901315285,1.2889657767390115
34,0.791793229842141,1.0051468291064518,1.277620622846413
35,0.789157940072252,1.006136796750348,1.2750887384026548
36,0.778604188163742,1.0018022632896697,1.2807279845969355
37,0.7863032989686219,0.9968776474671219,1.2992713545084236
38,0.7784012148909385,1.0029136841144997,1.2932254114391621
39,0.7764185499549108,1.0057306552126186,1.3054614160378912
40,0.7705666763022889,1.0099921804693714,1.3230433762240585
41,0.7644739825052882,1.0122659425705494,1.3144643024656832
42,0.7526172733628232,1.0120652598732849,1.3189619235859391
43,0.7558762617026303,1.0064805361232865,1.3363487918390107
44,0.7562338229330287,1.0052977624679076,1.3420005950071483
45,0.7574945251661074,0.9996101086185547,1.3316918641827953
46,0.750647593690095,1.0003054054582168,1.3473550940303167
47,0.746637683545004,0.9954042738097013,1.344383378195734
48,0.7443219419184266,0.993223078762016,1.335469106538636
49,0.7431153772073438,1.0001298019425606,1.3353848780207782
50,0.7354175988998393,1.003822098155334,1.3374978939366582
51,0.7393007032282717,1.0004682705811572,1.3468867677175673
52,0.7345331732440394,1.0053739863243245,1.361009033027353
53,0.7424748874164563,1.0003808216636736,1.3715547760064346
54,0.7481757912205946,0.9977132468230372,1.3848522136623005
55,0.7419673011965496,0.9987784345472908,1.3740123989061974
56,0.7436735635847757,1.0061998503708622,1.384175851641048
57,0.7456596185837859,1.000404243550585,1.3974095326268865
58,0.7449136087718329,1.0032921160179415,1.3810983371960268
59,0.7380664999122175,1.0038435692534327,1.407098491995535
60,0.7436886959449751,1.000449153135692,1.4081105627585058
61,0.7365945788526987,1.0012563854373746,1.410143991489694
62,0.7343706340309364,1.0044802048986514,1.4137166389343925
63,0.7344243789674978,1.0045256758421557,1.4057008257962575
64,0.7199932987708993,1.0070922700388696,1.3965534088743745
65,0.7190593021898081,1.0051267067626386,1.3954564764532844
66,0.7170215979753404,0.9990951277924905,1.3923080953155926
67,0.7023649174542388,1.0036930050426869,1.3986516061123644
68,0.7025163645789271,1.0078804854603443,1.427926677934377
69,0.7043492451902215,1.0086980980842308,1.4306109469789956
70,0.6991489766571796,1.0078003540675953,1.4262898330757336
71,0.701586515244292,1.0081655363211333,1.4414203330281972
72,0.6954051901409846,1.0065258457219337,1.455710412169719
73,0.688974743620312,1.006319276365081,1.4711997301724522
74,0.6915952965647013,0.998553093416471,1.4656643868825148
75,0.7006652878196592,0.9975777614014152,1.4650325810546112
76,0.6922477438912955,1.0063981816889183,1.4688063335587036
